date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:05	31005/31005	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Jul%202019%2012:08:05%20GMT	https://www.tutorialrepublic.com/	F:/tutrioal/www.tutorialrepublic.com/index.html	(from )
17:08:05	118/118	---M-Z	200	added ('OK')	text/plain	etag:%22af-5872e7b928ac0-gzip%22	https://www.tutorialrepublic.com/robots.txt		(from )
17:08:05	6341/6341	---M--	200	added ('OK')	image/png	etag:%2218c5-57bb64526fa80%22	https://www.tutorialrepublic.com/lib/images/signature.png	F:/tutrioal/www.tutorialrepublic.com/lib/images/signature.png	(from https://www.tutorialrepublic.com/)
17:08:06	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221536-56e57c01eb000%22	https://www.tutorialrepublic.com/favicon.ico	F:/tutrioal/www.tutorialrepublic.com/favicon.ico	(from https://www.tutorialrepublic.com/)
17:08:06	211/211	---M--	200	added ('OK')	image/png	etag:%22d3-54370c9a53980%22	https://www.tutorialrepublic.com/lib/images/smooth-line.png	F:/tutrioal/www.tutorialrepublic.com/lib/images/smooth-line.png	(from https://www.tutorialrepublic.com/)
17:08:06	521/521	---M--	200	added ('OK')	image/png	etag:%22209-5431ced018b80%22	https://www.tutorialrepublic.com/lib/images/separator-ruler.png	F:/tutrioal/www.tutorialrepublic.com/lib/images/separator-ruler.png	(from https://www.tutorialrepublic.com/)
17:08:07	7287/7287	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c77-56e6e20a9a540-gzip%22	https://www.tutorialrepublic.com/lib/images/logo.svg	F:/tutrioal/www.tutorialrepublic.com/lib/images/logo.svg	(from https://www.tutorialrepublic.com/)
17:08:08	28326/28326	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Jul%202019%2012:08:07%20GMT	https://www.tutorialrepublic.com/contact-us.php	F:/tutrioal/www.tutorialrepublic.com/contact-us.html	(from https://www.tutorialrepublic.com/)
17:08:08	74306/74306	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Jul%202019%2012:08:08%20GMT	https://www.tutorialrepublic.com/references.php	F:/tutrioal/www.tutorialrepublic.com/references.html	(from https://www.tutorialrepublic.com/)
17:08:09	37478/37478	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Jul%202019%2012:08:08%20GMT	https://www.tutorialrepublic.com/css-tutorial/	F:/tutrioal/www.tutorialrepublic.com/css-tutorial/index.html	(from https://www.tutorialrepublic.com/)
